Lfd. Nr.;Relevent WP years;FGE;series;Fangort bzw. Strom km;Habitat;Fangdatum;Toetungs-datum;Bearbeitungs-datum;Fangmonat;Fangjahr;Quartal;gear;Masse (g) gemessen;Laenge (cm) gemessen;G/B;Kopf;Neuromast;Auge v (mm);Auge h (mm);Brustfl.  (mm);Fett (%-Fatmeter Eel-1, ggf. korrigiert (aus eel-2?));Fett (%, Eel-2);Fett (%, keine Angabe des Programms) ;Otolithen;Sex;Leber (g);Eingeweide (g);Gonadengewicht (g);Schwimmblase (binär);Gewicht Schwimmblase (g);Galle (binär);Muskel;Hirn;TK;representative ;Bemerkungen;Wissenschaftler/Protokollant;Lagerung;Hälterung;Extra ID (Polen ID, Florian Id);Fett % (Labor);Fett (% hinter Anus);Muskel (binär);Muskelgewicht (g);DNA /Gewebeprobe (binär);Fettbeprobung (binär);Vollbeprobung;Leber Histo #;Blut Nr. ;Length (mm)  corrected;Length (cm) corrected;Length class (1cm);Length class (2cm);Length class (5cm);Length class (10cm);Mass (g) corrected;eye_diam_avg ;S1;SF2;SF3;SF4;SF5;SM2 (6);Stage (s.i.);Y/S nach Durif;Pankhurst ;Y/S nach Pankhurst;GSI;HSI;Age (y);Quality of age reading;PCB  (pg TEQ/g ww);Quecksilber Muskel (µg/kg ww);Quecksilber Leber;Pb Muskel (µg/kg dw) ;Cd Muskel (µg/kg dw);PAHs Pyr/380 (regional);PAHs Pyr/ml (physiologisch);A380;EROD;GST;Pseudodactylogyrus (n gesamt);Anguillicola cr. (n gesamt);Hartmannklasse
6176;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;65;35;NA;NA;NA;4.6;5.7;16.5;13.1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;350;35;35;34;35;30;65;5.15;55.10;51.94;47.14;39.11;42.10;53.68;1;y;5.951635082;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6177;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;121.7;43;NA;NA;NA;5.1;5.2;18.9;22.2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;430;43;43;42;40;40;121.7;5.15;69.81;69.74;65.18;53.66;58.12;64.29;1;y;4.844354137;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6178;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;69.6;34;NA;NA;NA;4;4.4;12.1;14.9;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;340;34;34;34;30;30;69.6;4.2;44.21;38.52;29.90;19.46;19.16;34.08;1;y;4.074830471;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6179;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;54;32;NA;NA;NA;3;4.7;12.1;13.5;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;320;32;32;32;30;30;54;3.85;39.11;32.43;23.10;12.44;12.07;28.09;1;y;3.637988837;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6180;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;85.9;36;NA;NA;NA;4.2;4.9;15.6;13.3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;360;36;36;36;35;30;85.9;4.55;51.38;47.45;40.76;30.72;32.53;44.52;1;y;4.516584855;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6181;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;19.09.2019;NP;04.11.2019;9;2019;4;Aalreuse;111.4;40;NA;NA;NA;4;5.4;15.5;14.8;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;400;40;40;40;40;40;111.4;4.7;59.08;56.62;49.97;38.51;40.44;50.30;1;y;4.337361357;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6182;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;19.09.2019;NP;04.11.2019;9;2019;4;Aalreuse;94.7;39;NA;NA;NA;4.1;5.4;12.2;11.6;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;390;39;39;38;35;30;94.7;4.75;56.71;53.41;45.84;34.60;34.91;46.82;1;y;4.543729759;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6183;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;19.09.2019;NP;04.11.2019;9;2019;4;Aalreuse;145.8;45;NA;NA;NA;4.7;5.5;20;18.5;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;450;45;45;44;45;40;145.8;5.1;72.44;73.04;68.56;56.28;61.06;65.83;2;y;4.539601384;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6184;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;19.09.2019;NP;04.11.2019;9;2019;4;Aalreuse;139.1;43;NA;NA;NA;4;5;17.1;15.6;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;430;43;43;42;40;40;139.1;4.5;63.22;61.75;54.92;41.73;44.35;52.00;1;y;3.698677397;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6185;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;19.09.2019;NP;04.11.2019;9;2019;4;Aalreuse;103.8;39;NA;NA;NA;4.5;5.4;13.2;10;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;390;39;39;38;35;30;103.8;4.95;57.45;54.44;47.69;37.33;37.99;49.50;1;y;4.934415;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
